"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","BPH32","STV11"
"1","Mid-early","DSRCP v2","IR 111947-B-B-6-3-1-1",2022,"DS",42,80,108,6747,81,85,59.5,17.9,NA,-1,-1,NA,1,1,-1,1
"2","Mid-early","DSRCP v2","IR 111947-B-B-6-3-1-2",2022,"DS",42,80,107,6774,83,87,65,21.2,NA,-1,-1,NA,1,1,-1,1
"3","Early","DSRCP v1","IR19L1009",2022,"DS",44,78,110,6752,NA,NA,46.7,9.1,-1,1,-1,NA,NA,-1,1,1
"4","Mid-early","DSRCP v2","IR17D1090",2022,"DS",44,80,108,6904,NA,NA,58.9,16.4,NA,-1,1,NA,1,-1,1,1
"5","Mid-early","DSRCP v2","IR17D1001",2022,"DS",44,79,107,6821,NA,NA,61,22.9,NA,-1,-1,NA,1,-1,1,1
"6","Mid-early","DSRCP v2","IR14D137",2022,"DS",44,79,107,6739,83,86,63.4,18.7,NA,-1,-1,NA,1,-1,1,1
"7","Early","DSRCP v1","IR15D119",2022,"DS",46,78,101,6902,80,83,38.9,14.3,1,NA,-1,1,NA,-1,1,1
"8","Early","DSRCP v1","IR16L1411",2022,"DS",48,79,102,6677,84,89,52.6,11.4,1,1,1,NA,NA,-1,-1,1
"9","Early","DSRCP v1","IR15D1079",2022,"DS",43,80,104,6801,82,86,46,13.5,-1,NA,-1,NA,NA,1,1,1
"10","Early","DSRCP v1","IR16L1421",2022,"DS",48,77,105,6895,82,86,45.5,12.6,1,1,1,NA,NA,-1,1,-1
"11","Early","DSRCP v1","IR14F707",2022,"DS",46,79,106,6638,71,79,37,15.1,-1,NA,0,NA,NA,0,0,0
"12","Early","DSRCP v2","IR14D128",2022,"DS",44,79,105,6858,80,84,58.2,11.5,NA,-1,1,NA,1,-1,1,1
"13","Mid-early","DSRCP v2","IR 119924-3:3-B2-B",2022,"DS",44,79,106,6840,76,77,52.7,21.6,NA,-1,-1,NA,1,1,1,1
"14","Mid-early","DSRCP v2","IR 111921-B-B-46-2-2-1",2022,"DS",45,81,111,6928,82,87,67.2,16.8,NA,-1,-1,NA,1,1,1,1
"15","Early","DSRCP v1","IR19L1030",2022,"DS",45,78,105,6758,78,82,51,10.1,-1,NA,-1,NA,NA,-1,1,1
"16","Early","DSRCP v2","IR 111922-B-B-52-2-2-1",2022,"DS",44,79,107,6880,86,88,65.7,16.4,NA,-1,1,NA,1,-1,1,1
"17","Mid-early","DSRCP v2","IR 117647-B-B-45-1-B-B",2022,"DS",45,79,107,6778,NA,NA,56.8,23,NA,NA,1,NA,-1,-1,1,1
