"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","STV11"
"1","Mid-early","DSRCP v2","IR 111921-B-B-46-2-2-1",2022,"DS",45,81,111,6928,82,87,67.2,16.8,NA,-1,-1,NA,1,1,1
"2","Mid-early","DSRCP v2","IR 111922-B-B-17-2-2-3",2022,"DS",44,80,108,6908,79,82,52.8,14.4,NA,-1,1,NA,1,-1,1
"3","Mid-early","DSRCP v2","IR 111922-B-B-17-2-3-3",2022,"DS",44,80,108,6903,83,87,60.4,16.3,NA,-1,1,NA,1,-1,1
"4","Early","DSRCP v2","IR 111922-B-B-52-2-2-1",2022,"DS",44,79,107,6880,86,88,65.7,16.4,NA,-1,1,NA,1,-1,1
"5","Mid-early","DSRCP v2","IR 111940-B-B-14-1-1-1",2022,"DS",44,79,108,6938,84,89,49.4,15.4,NA,-1,-1,NA,1,-1,1
"6","Mid-early","DSRCP v2","IR 111940-B-B-14-1-3-1",2022,"DS",43,79,107,6915,83,85,42.7,16.7,NA,-1,-1,NA,1,-1,1
"7","Mid-early","DSRCP v2","IR 111940-B-B-16-1-1-1",2022,"DS",44,80,111,6957,85,88,47.1,15.2,NA,-1,-1,NA,1,-1,1
"8","Early","DSRCP v2","IR 111940-B-B-4-3-2-1",2022,"DS",44,79,108,6945,88,86,45.9,16.2,NA,-1,-1,NA,1,-1,1
"9","Early","DSRCP v2","IR 111940-B-B-4-3-2-3",2022,"DS",44,79,108,6938,NA,NA,44.4,12.6,NA,-1,-1,NA,1,-1,1
"10","Mid-Early","DSRCP v4","IR 116687-B-B-32-1-3 RGA",2022,"DS",44,79,104,6687,NA,NA,56.01,NA,NA,-1,1,NA,1,-1,1
"11","Early","DSRCP v4","IR 116687-B-B-39-1-1 RGA",2022,"DS",44,79,105,6695,NA,NA,49.8,NA,NA,-1,-1,NA,1,1,-1
"12","Mid-Early","DSRCP v4","IR 116687-B-B-39-1-2 RGA",2022,"DS",44,79,105,6680,NA,NA,50.53,NA,NA,-1,-1,NA,1,1,-1
"13","Early","DSRCP v1","IR 117831-7-1 RGA-1 RGA-1 RGA-2",2022,"DS",46,79,110,6894,81,86,59.8,11.8,-1,1,-1,NA,NA,1,1
"14","Early","DSRCP v1","IR 117841-2-1 RGA-1 RGA-1 RGA-1",2022,"DS",46,79,112,6960,84,89,44.7,10.2,-1,NA,-1,NA,NA,1,1
"15","Early","DSRCP v1","IR 117841-4-1 RGA-1 RGA-1 RGA-2",2022,"DS",46,79,108,6913,78,83,46.1,9.3,-1,1,-1,NA,NA,1,1
"16","Early","DSRCP v1","IR 118941-1:3-B2",2022,"DS",47,79,102,6971,83,83,49.9,15.4,-1,NA,-1,NA,NA,-1,1
"17","Mid-early","DSRCP v2","IR 120028-1:3-B2-B",2022,"DS",43,79,105,6876,83,85,60.3,17.9,NA,-1,-1,NA,1,1,1
"18","Mid-Early","DSRCP v4","IR 122407-B-B-37-2-1 RGA",2022,"DS",45,80,103,6694,NA,NA,57.15,NA,NA,0,1,NA,-1,-1,1
"19","Mid-Early","DSRCP v4","IR 122407-B-B-42-1-2 RGA",2022,"DS",45,79,104,6686,NA,NA,58.6,NA,NA,-1,1,NA,-1,-1,1
"20","","DSRCP v6","IR 125458-B-3-B RGA-B RGA-1",2022,"DS",44,80,107,6654,NA,NA,56.89,NA,-1,NA,-1,NA,1,-1,1
"21","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-1",2022,"DS",45,79,105,6930,NA,NA,54.8,NA,NA,-1,-1,-1,1,1,1
"22","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-2",2022,"DS",45,79,105,6913,NA,NA,55.05,NA,NA,-1,-1,-1,1,1,1
"23","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-4",2022,"DS",45,79,104,6916,NA,NA,54.91,NA,NA,-1,-1,-1,1,1,1
"24","","DSRCP v6","IR 125492-B-11-B RGA-B RGA-5",2022,"DS",45,79,105,6921,NA,NA,54.73,NA,NA,-1,-1,-1,1,1,1
"25","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-46 RGA",2022,"DS",44,78,109,6922,NA,NA,51.83,NA,-1,1,-1,-1,1,-1,1
"26","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-49 RGA",2022,"DS",44,78,107,6915,NA,NA,51.65,NA,-1,1,-1,-1,1,-1,1
"27","","DSRCP v6","IR 137194-21-2-B RGA-B RGA-4",2022,"DS",45,80,107,6695,NA,NA,61.32,NA,NA,1,1,-1,-1,-1,-1
"28","","DSRCP v6","IR 137194-21-2-B RGA-B RGA-5",2022,"DS",45,80,107,6682,NA,NA,61.3,NA,NA,1,1,-1,-1,-1,-1
"29","","DSRCP v6","IR 137194-29-2-B RGA-B RGA-3",2022,"DS",45,80,108,6652,NA,NA,60.77,NA,NA,1,1,-1,-1,-1,1
"30","","DSRCP v6","IR 137195-23-2-B RGA-B RGA-1",2022,"DS",45,80,108,6673,NA,NA,60.1,NA,NA,1,1,-1,-1,-1,1
"31","","DSRCP v6","IR 137195-23-2-B RGA-B RGA-2",2022,"DS",45,80,108,6670,NA,NA,61.46,NA,NA,1,1,-1,-1,-1,1
"32","","DSRCP v6","IR 137198-28-2-B RGA-B RGA-1",2022,"DS",44,79,108,6897,NA,NA,55.82,NA,NA,NA,-1,1,1,-1,1
"33","","DSRCP v6","IR 137198-37-1-B RGA-B RGA-1",2022,"DS",45,80,106,6834,NA,NA,58.75,NA,NA,NA,1,1,-1,-1,1
"34","","DSRCP v6","IR 137198-37-1-B RGA-B RGA-2",2022,"DS",45,80,106,6841,NA,NA,59.04,NA,NA,NA,1,1,-1,-1,1
"35","","DSRCP v6","IR 137198-38-1-B RGA-B RGA-1",2022,"DS",45,80,106,6834,NA,NA,58.75,NA,NA,NA,1,1,-1,-1,1
"36","","DSRCP v6","IR 137198-38-1-B RGA-B RGA-4",2022,"DS",45,80,106,6834,NA,NA,58.75,NA,NA,NA,1,1,-1,-1,1
"37","","DSRCP v6","IR 137198-38-1-B RGA-B RGA-5",2022,"DS",45,80,106,6827,NA,NA,58.14,NA,NA,NA,1,1,-1,-1,1
"38","","DSRCP v6","IR 137198-39-2-B RGA-B RGA-1",2022,"DS",45,80,106,6838,NA,NA,59.02,NA,NA,NA,1,1,-1,-1,1
"39","","DSRCP v6","IR 139101-26-2-B RGA-B RGA-3",2022,"DS",44,80,108,6641,NA,NA,56.83,NA,NA,1,1,-1,-1,-1,1
"40","","DSRCP v6","IR 139103-43-1-B RGA-B RGA-1",2022,"DS",44,79,109,6644,NA,NA,57.8,NA,NA,1,1,-1,-1,-1,1
"41","","DSRCP v6","IR 139107-27-1-B RGA-B RGA-2",2022,"DS",45,80,107,6830,NA,NA,54.84,NA,-1,-1,-1,-1,1,-1,1
"42","","DSRCP v6","IR 139109-29-1-B RGA-B RGA-2",2022,"DS",45,79,106,6803,NA,NA,57.02,NA,NA,1,1,-1,-1,-1,1
"43","","DSRCP v6","IR 139109-29-1-B RGA-B RGA-3",2022,"DS",45,80,106,6826,NA,NA,55.56,NA,NA,1,1,-1,-1,-1,1
"44","","DSRCP v6","IR 139110-18-2-B RGA-B RGA-2",2022,"DS",45,79,105,6817,NA,NA,56.72,NA,NA,1,1,-1,-1,-1,1
"45","","DSRCP v6","IR 139112-12-1-B RGA-B RGA-1",2022,"DS",45,80,107,6894,NA,NA,54.4,NA,-1,-1,-1,-1,1,-1,1
