"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG3","qDTY12.1","qSub1","Pita","qPi33","xa5"
"1","Early","DSRCP v1","IR16L1499",2022,"DS",47,77,108,6654,83,87,54.7,10.5,NA,1,NA,NA,-1,-1
"2","Early","DSRCP v2","IR14D187",2022,"DS",44,79,108,6858,76,86,54.1,18.4,1,-1,NA,1,1,-1
"3","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-46 RGA",2022,"DS",44,78,109,6922,NA,NA,51.83,NA,1,-1,-1,1,1,-1
"4","Mid-Early","DSRCP v1","IR16L1453",2022,"DS",46,78,109,6843,78,81,47.9,11.1,NA,-1,-1,NA,1,-1
"5","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-1 RGA",2022,"DS",44,79,108,6869,NA,NA,49.93,NA,1,-1,-1,1,1,-1
"6","Mid-Early","DSRCP v1","IR18R1078",2022,"DS",45,81,105,6784,NA,NA,30.6,14.5,NA,-1,NA,NA,-1,1
"7","Mid-Early","DSRCP v1","IR15A3449",2022,"DS",44,78,104,6792,80,85,48.2,8.2,NA,-1,-1,NA,NA,0
"8","Mid-Early","DSRCP v1","IR15A2619",2022,"DS",47,77,110,7096,79,82,46.9,16.5,NA,-1,NA,NA,1,-1
"9","Mid-early","DSRCP v2","IR17F1073",2022,"DS",45,80,109,6785,80,85,61.9,19.2,-1,1,NA,-1,-1,-1
"10","Early","DSRCP v1","IR17L1099",2022,"DS",48,76,110,7049,79,83,46.2,13.9,1,-1,NA,NA,-1,1
"11","Early","DSRCP v2","IR14D132",2022,"DS",44,79,104,6704,86,88,37.7,9.9,-1,-1,NA,1,-1,-1
"12","Early","DSRCP v1","IR16L1478",2022,"DS",48,77,111,6773,83,88,47.2,8.4,NA,-1,NA,NA,-1,-1
"13","Mid-Early","DSRCP v1","IR18R1061",2022,"DS",44,82,106,6724,73,80,45.4,10.3,NA,-1,NA,NA,NA,1
"14","Mid-Early","DSRCP v1","IR16A1911",2022,"DS",45,79,106,6830,83,88,51.7,15.9,NA,-1,NA,NA,NA,1
"15","Early","DSRCP v1","IR17L1040",2022,"DS",48,76,102,6677,78,81,42.1,10.8,NA,-1,NA,NA,-1,-1
